Time,VehicleID,X,Y,Speed,Angle
22.10,0,2148.40,111.62,30.86,180.00
22.10,1,1233.39,-1.60,23.97,90.00
22.10,2,2148.40,1182.49,4.52,180.00
22.20,0,2148.40,108.58,30.41,180.00
22.20,1,1235.81,-1.60,24.22,90.00
22.20,2,2148.40,1182.02,4.72,180.00
22.30,0,2148.40,105.58,29.96,180.00
22.30,1,1238.26,-1.60,24.45,90.00
22.30,2,2148.40,1181.53,4.87,180.00
22.40,0,2148.40,102.63,29.51,180.00
22.40,1,1240.73,-1.60,24.69,90.00
22.40,2,2148.40,1181.03,5.05,180.00
22.50,0,2148.40,99.72,29.06,180.00
22.50,1,1243.21,-1.60,24.86,90.00
22.50,2,2148.40,1180.50,5.30,180.00
22.60,0,2148.40,96.86,28.61,180.00
22.60,1,1245.72,-1.60,25.10,90.00
22.60,2,2148.40,1179.95,5.46,180.00
22.70,0,2148.40,94.05,28.16,180.00
22.70,1,1248.25,-1.60,25.29,90.00
22.70,2,2148.40,1179.39,5.64,180.00
22.80,0,2148.40,91.28,27.71,180.00
22.80,1,1250.79,-1.60,25.42,90.00
22.80,2,2148.40,1178.80,5.87,180.00
22.90,0,2148.40,88.55,27.26,180.00
22.90,1,1253.35,-1.60,25.60,90.00
22.90,2,2148.40,1178.19,6.08,180.00
23.00,0,2148.40,85.87,26.81,180.00
23.00,1,1255.93,-1.60,25.76,90.00
23.00,2,2148.40,1177.56,6.34,180.00
23.10,0,2148.40,83.23,26.36,180.00
23.10,1,1258.53,-1.60,26.00,90.00
23.10,2,2148.40,1176.90,6.56,180.00
23.20,0,2148.40,80.64,25.91,180.00
23.20,1,1261.15,-1.60,26.17,90.00
23.20,2,2148.40,1176.23,6.74,180.00
23.30,0,2148.40,78.09,25.46,180.00
23.30,1,1263.78,-1.60,26.32,90.00
23.30,2,2148.40,1175.54,6.90,180.00
23.40,0,2148.40,75.59,25.01,180.00
23.40,1,1266.43,-1.60,26.54,90.00
23.40,2,2148.40,1174.83,7.05,180.00
23.50,0,2148.40,73.13,24.56,180.00
23.50,1,1269.11,-1.60,26.73,90.00
23.50,2,2148.40,1174.11,7.23,180.00
23.60,0,2148.40,70.72,24.11,180.00
23.60,1,1271.80,-1.60,26.92,90.00
23.60,2,2148.40,1173.37,7.40,180.00
23.70,0,2148.40,68.36,23.66,180.00
23.70,1,1274.51,-1.60,27.16,90.00
23.70,2,2148.40,1172.61,7.63,180.00
23.80,0,2148.40,66.04,23.21,180.00
23.80,1,1277.25,-1.60,27.38,90.00
23.80,2,2148.40,1171.83,7.83,180.00
23.90,0,2148.40,63.76,22.76,180.00
23.90,1,1280.01,-1.60,27.59,90.00
23.90,2,2148.40,1171.02,8.02,180.00
24.00,0,2148.40,61.53,22.31,180.00
24.00,1,1282.79,-1.60,27.83,90.00
24.00,2,2148.40,1170.21,8.16,180.00
24.10,0,2148.40,59.34,21.86,180.00
24.10,1,1285.60,-1.60,28.04,90.00
24.10,2,2148.40,1169.38,8.31,180.00
24.20,0,2148.40,57.20,21.41,180.00
24.20,1,1288.42,-1.60,28.20,90.00
24.20,2,2148.40,1168.53,8.50,180.00
24.30,0,2148.40,55.10,20.96,180.00
24.30,1,1291.26,-1.60,28.42,90.00
24.30,2,2148.40,1167.65,8.76,180.00
24.40,0,2148.40,53.05,20.51,180.00
24.40,1,1294.12,-1.60,28.58,90.00
24.40,2,2148.40,1166.75,9.00,180.00
24.50,0,2148.40,51.05,20.06,180.00
24.50,1,1297.00,-1.60,28.81,90.00
24.50,2,2148.40,1165.83,9.24,180.00
24.60,0,2148.40,49.08,19.61,180.00
24.60,1,1299.90,-1.60,29.01,90.00
24.60,2,2148.40,1164.88,9.42,180.00
24.70,0,2148.40,47.17,19.16,180.00
24.70,1,1302.82,-1.60,29.23,90.00
24.70,2,2148.40,1163.92,9.67,180.00
24.80,0,2148.40,45.30,18.71,180.00
24.80,1,1305.77,-1.60,29.47,90.00
24.80,2,2148.40,1162.93,9.88,180.00
24.90,0,2148.40,43.47,18.26,180.00
24.90,1,1308.74,-1.60,29.72,90.00
24.90,2,2148.40,1161.92,10.06,180.00
25.00,0,2148.40,41.69,17.81,180.00
25.00,1,1311.74,-1.60,29.97,90.00
25.00,2,2148.40,1160.90,10.22,180.00
25.10,0,2148.40,39.95,17.36,180.00
25.10,1,1314.76,-1.60,30.18,90.00
25.10,2,2148.40,1159.86,10.42,180.00
25.20,0,2148.40,38.26,16.91,180.00
25.20,1,1317.79,-1.60,30.36,90.00
25.20,2,2148.40,1158.80,10.60,180.00
25.30,0,2148.40,36.61,16.46,180.00
25.30,1,1320.85,-1.60,30.61,90.00
25.30,2,2148.40,1157.72,10.83,180.00
25.40,0,2148.40,35.01,16.01,180.00
25.40,1,1323.93,-1.60,30.76,90.00
25.40,2,2148.40,1156.61,11.07,180.00
25.50,0,2148.40,33.46,15.56,180.00
25.50,1,1327.03,-1.60,31.01,90.00
25.50,2,2148.40,1155.48,11.28,180.00
25.60,0,2148.40,31.94,15.11,180.00
25.60,1,1330.15,-1.60,31.18,90.00
25.60,2,2148.40,1154.33,11.50,180.00
25.70,0,2148.40,30.48,14.66,180.00
25.70,1,1333.29,-1.60,31.38,90.00
25.70,2,2148.40,1153.16,11.68,180.00
25.80,0,2148.40,29.06,14.21,180.00
25.80,1,1336.44,-1.60,31.57,90.00
25.80,2,2148.40,1151.98,11.83,180.00
25.90,0,2148.40,27.68,13.76,180.00
25.90,1,1339.62,-1.60,31.75,90.00
25.90,2,2148.40,1150.77,12.05,180.00
26.00,0,2148.40,26.35,13.31,180.00
26.00,1,1342.82,-1.60,32.01,90.00
26.00,2,2148.40,1149.55,12.25,180.00
26.10,0,2148.40,25.06,12.86,180.00
26.10,1,1346.04,-1.60,32.24,90.00
26.10,2,2148.40,1148.31,12.44,180.00
26.20,0,2148.40,23.82,12.41,180.00
26.20,1,1349.28,-1.60,32.37,90.00
26.20,2,2148.40,1147.05,12.58,180.00
26.30,0,2148.40,22.62,11.96,180.00
26.30,1,1352.54,-1.60,32.57,90.00
26.30,2,2148.40,1145.76,12.84,180.00
26.40,0,2148.40,21.47,11.51,180.00
26.40,1,1355.81,-1.60,32.74,90.00
26.40,2,2148.40,1144.46,13.04,180.00
26.50,0,2148.40,20.37,11.06,180.00
26.50,1,1359.11,-1.60,32.95,90.00
26.50,2,2148.40,1143.14,13.23,180.00
26.60,0,2148.40,19.30,10.61,180.00
26.60,1,1362.42,-1.60,33.09,90.00
26.60,2,2148.40,1141.79,13.42,180.00
26.70,0,2148.40,18.29,10.16,180.00
26.70,1,1365.75,-1.60,33.31,90.00
26.70,2,2148.40,1140.43,13.68,180.00
26.80,0,2148.40,17.32,9.71,180.00
26.80,1,1369.10,-1.60,33.48,90.00
26.80,2,2148.40,1139.04,13.88,180.00
26.90,0,2148.40,16.39,9.26,180.00
26.90,1,1372.46,-1.60,33.66,90.00
26.90,2,2148.40,1137.64,14.03,180.00
27.00,0,2148.40,15.51,8.81,180.00
27.00,1,1375.84,-1.60,33.81,90.00
27.00,2,2148.40,1136.22,14.21,180.00
27.10,0,2148.40,14.67,8.36,180.00
27.10,1,1379.24,-1.60,34.00,90.00
27.10,2,2148.40,1134.78,14.38,180.00
27.20,0,2148.40,13.88,7.91,180.00
27.20,1,1382.66,-1.60,34.15,90.00
27.20,2,2148.40,1133.32,14.58,180.00
27.30,0,2148.40,13.13,7.46,180.00
27.30,1,1386.09,-1.60,34.29,90.00
27.30,2,2148.40,1131.85,14.73,180.00
27.40,0,2148.40,12.43,7.01,180.00
27.40,1,1389.54,-1.60,34.48,90.00
27.40,2,2148.40,1130.35,14.96,180.00
27.50,0,2148.40,11.78,6.56,180.00
27.50,1,1393.00,-1.60,34.65,90.00
27.50,2,2148.40,1128.83,15.20,180.00
27.60,0,2148.40,11.16,6.11,180.00
27.60,1,1396.48,-1.60,34.80,90.00
27.60,2,2148.40,1127.29,15.41,180.00
27.70,0,2148.40,10.53,6.37,180.00
27.70,1,1399.98,-1.60,35.00,90.00
27.70,2,2148.40,1125.73,15.56,180.00
27.80,0,2148.40,9.86,6.63,180.00
27.80,1,1403.50,-1.60,35.16,90.00
27.80,2,2148.40,1124.16,15.70,180.00
27.90,0,2148.40,9.17,6.89,180.00
27.90,1,1407.03,-1.60,35.37,90.00
27.90,2,2148.40,1122.57,15.94,180.00
28.00,0,2148.40,8.46,7.15,180.00
28.00,1,1410.59,-1.60,35.55,90.00
28.00,2,2148.40,1120.95,16.15,180.00
28.10,0,2148.40,7.72,7.35,180.00
28.10,1,1414.16,-1.60,35.71,90.00
28.10,2,2148.40,1119.32,16.30,180.00
28.20,0,2148.38,7.03,6.90,180.27
28.20,1,1417.75,-1.60,35.87,90.00
28.20,2,2148.40,1117.68,16.49,180.00
28.30,0,2148.28,6.36,6.77,181.37
28.30,1,1421.35,-1.60,36.06,90.00
28.30,2,2148.40,1116.00,16.73,180.00
28.40,0,2148.18,5.68,6.89,182.49
28.40,1,1424.98,-1.60,36.26,90.00
28.40,2,2148.40,1114.31,16.91,180.00
28.50,0,2148.09,5.00,6.87,183.61
28.50,1,1428.63,-1.60,36.47,90.00
28.50,2,2148.40,1112.60,17.13,180.00
28.60,0,2147.83,4.38,6.82,186.61
28.60,1,1432.29,-1.60,36.67,90.00
28.60,2,2148.40,1110.87,17.32,180.00
28.70,0,2147.48,3.79,6.86,190.85
28.70,1,1435.98,-1.60,36.87,90.00
28.70,2,2148.40,1109.11,17.53,180.00
28.80,0,2147.12,3.20,6.90,195.16
28.80,1,1439.69,-1.60,37.05,90.00
28.80,2,2148.40,1107.35,17.69,180.00
28.90,0,2146.61,2.77,6.87,201.80
28.90,1,1443.41,-1.60,37.21,90.00
28.90,2,2148.40,1105.55,17.92,180.00
29.00,0,2146.03,2.42,6.85,208.86
29.00,1,1447.15,-1.60,37.47,90.00
29.00,2,2148.40,1103.75,18.08,180.00
29.10,0,2145.44,2.07,6.80,215.96
29.10,1,1450.92,-1.60,37.65,90.00
29.10,2,2148.40,1101.92,18.24,180.00
29.20,0,2144.80,1.89,6.78,224.90
29.20,1,1454.71,-1.60,37.88,90.00
29.20,2,2148.40,1100.08,18.40,180.00
29.30,0,2144.13,1.79,6.82,233.95
29.30,1,1458.51,-1.60,38.05,90.00
29.30,2,2148.40,1098.22,18.66,180.00
29.40,0,2143.45,1.69,6.83,241.07
29.40,1,1462.33,-1.60,38.18,90.00
29.40,2,2148.40,1096.33,18.82,180.00
29.50,0,2142.78,1.60,6.78,248.05
29.50,1,1466.17,-1.60,38.44,90.00
29.50,2,2148.40,1094.43,19.01,180.00
29.60,0,2142.08,1.60,7.03,254.86
29.60,1,1470.04,-1.60,38.70,90.00
29.60,2,2148.40,1092.51,19.21,180.00
29.70,0,2141.35,1.60,7.25,259.39
